target	scope	loc	dim	value	status	latency_ms	evidence	suggestions
touring-hooks-core	crate	0	F1_1	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_10	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_11	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_12	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_2	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_3	0.0	Fail	0	scope-native verifier error: failed to read touring-hooks-core: No such file or directory (os error 2)	
touring-hooks-core	crate	0	F1_4	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_5	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_6	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_7	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
touring-hooks-core	crate	0	F1_8	0.0	Fail	0	scope-native verifier error: failed to read touring-hooks-core: No such file or directory (os error 2)	
touring-hooks-core	crate	0	F1_9	0.0	Fail	0	LOC-weighted over 1 files: 0.000 (worst touring-hooks-core=0.000, p10=0.000)	
